name,input_size_bytes,num_keys,perfect_naive_BUILD,perfect_naive_QUERY,perfect_naive_HEAP,hash_map_BUILD,hash_map_QUERY,hash_map_HEAP,λ=1:phf_BUILD,λ=1:phf_QUERY,λ=1:phf_HEAP,λ=5:phf_BUILD,λ=5:phf_QUERY,λ=5:phf_HEAP,
bestbuy_short_(103MB),103231582,680183,0.194736545,0.012426811000000001,58966256,0.05980406666666666,0.025007864,17825808,1.6043683153333335,0.0285088874,24713000,1.8510267473333333,0.0215271722,20359832,
crossref0_(320MB),320401529,3130672,1.361414693333333,0.061159105199999994,1201499616,0.3167267673333333,0.21004055419999998,71303184,11.380844540333333,0.5529700714,108690560,14.680956993666667,0.3419908392,88654264,
google_map_short_(107MB),106896877,1030012,0.27032148433333336,0.019359411,148793504,0.08680464733333333,0.0594100478,35651600,2.1311130736666666,0.073110174,33108896,2.907568278,0.0358590662,26516824,
twitter_short_(80MB),80205149,474122,0.11061026033333332,0.0075821002,52033648,0.04169988433333333,0.017213453,17825808,0.597408174,0.0160281152,15573232,0.8089495943333334,0.014475268999999999,12538856,
walmart_short_(95MB),95283602,35183,0.023238201,0.00023291959999999998,3645520,0.02088074633333333,0.0004120694,1114128,0.030203221,0.0006772406,1368680,0.055633293333333333,0.0005157846,1143512,
