QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$.meta.view.id,0.01095
1,$.data[0:100000][*],0.34575
2,$.data[0:200000][*],0.39740
3,$.data[0:300000][*],0.45219
4,$.data[0:400000][*],0.50265
5,$.data[0:500000][*],0.54790
6,$.data[0:600000][*],0.59263
7,$.data[0:700000][*],0.63655
8,$.data[0:800000][*],0.68079
9,$.data[0:900000][*],0.72477
10,$.data[0:1000000][*],0.76835
11,$.data[0:1100000][*],0.81173
12,$.data[0:1200000][*],0.85628
13,$.data[0:1300000][*],0.89937
14,$.data[0:1400000][*],0.94331
15,$.data[0:1500000][*],0.98556
16,$.data[0:1600000][*],1.03007
17,$.data[*],0.45779
18,$..id,0.12180
