QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$[*].user..url.*,0.16087
2,$[1:150000]..user,0.80004
3,$[1:140000]..user,0.75734
4,$[1:130000]..user,0.71469
5,$[1:120000]..user,0.67341
6,$[1:110000]..user,0.63181
7,$[1:100000]..user,0.58927
8,$[1:90000]..user,0.54916
9,$[1:80000]..user,0.50790
10,$[1:70000]..user,0.46472
11,$[1:60000]..user,0.42147
12,$[1:50000]..user,0.37684
13,$[1:40000]..user,0.33231
14,$[1:30000]..user,0.28803
15,$[1:20000]..user,0.24442
16,$[1:10000]..user,0.20106
17,$[*].user.profile_sidebar_border_color,0.25424
18,$[*].user.profile_image_url_https,0.26883
19,$[*].retweeted_status.filter_level,0.27186
20,$[*].retweeted_status.user.name,0.21226
21,$[*].user.created_at,0.22172
22,$[*].retweeted_status.id,0.19675
23,$[*].user.screen_name,0.19035
24,$[*].source,0.18034
25,$[*].id,0.16680
26,$[*].geo,0.21370
27,$[*].retweeted_status[*],0.26798
28,$[*]..id,0.81745
200,$[*].entities..symbols[*],0.23444
201,$[*].entities..url,0.27842
202,$[*].entities.symbols[*],0.23236
203,$[*].entities.symbols[1],0.23233
204,$[*].entities.urls[*].display_url,0.22741
205,$[*].timestamp_ms,0.27731
