QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$.meta.view.id,0.01095
1,$.data[0:100000][*],0.51758
2,$.data[0:200000][*],0.55736
3,$.data[0:300000][*],0.60126
4,$.data[0:400000][*],0.64178
5,$.data[0:500000][*],0.67643
6,$.data[0:600000][*],0.71019
7,$.data[0:700000][*],0.74352
8,$.data[0:800000][*],0.77777
9,$.data[0:900000][*],0.81099
10,$.data[0:1000000][*],0.84425
11,$.data[0:1100000][*],0.87776
12,$.data[0:1200000][*],0.91082
13,$.data[0:1300000][*],0.94398
14,$.data[0:1400000][*],0.97619
15,$.data[0:1500000][*],1.00853
16,$.data[0:1600000][*],1.04007
17,$.data[*],0.34559
18,$..id,0.12194
