QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$[4000].routes[*].bounds,0.01121
1,$[*].routes[*].legs[*].steps[*].html_instructions,0.56197
2,$[*].routes[*].legs[*].steps[*].distance.text,0.71830
3,$[*].routes[*].legs[*].steps[*].distance,0.64900
4,$[*].routes[*].legs[*].steps[*].maneuver,0.83957
5,$[*].routes[*].legs[*].steps[*].start_location,0.82122
6,$[*].routes[*].legs[*].steps[*].start_location.lat,0.87779
7,$[1:2000].routes[*].legs[*].steps[*].polyline.points,0.38006
8,$[*].routes[*].legs[*].steps[*].duration,1.06430
9,$[*].routes[*].legs[*].steps[*].end_location,1.18843
10,$[1:3000].routes[*].legs[*].steps[*].polyline.points,0.57817
11,$[*].routes[*].legs[*].steps[*],0.92563
12,$[1:4000].routes[*].legs[*].steps[*].polyline.points,0.78103
13,$[*].routes[*].legs[*].steps[*].polyline,0.92219
14,$[*].routes[*].legs[*].steps[*].polyline.points,0.88146
15,$[*].routes[*].legs[*]..lat,0.97121
16,$[*]..bounds,0.97043
