JSON,QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
crossref1_(551MB),3,$.items[*].member,0.11062
crossref1_(551MB),4,$.items[*].score,0.11247
crossref1_(551MB),5,$.items[*].resource.primary.URL,0.10928
crossref1_(551MB),6,$.items[*].issued,0.15004
crossref1_(551MB),7,$.items[*].author[*].given,0.19076
crossref1_(551MB),8,$.items[*].author[*].family,0.19513
crossref1_(551MB),9,$.items[*].author[*].sequence,0.19925
crossref1_(551MB),10,$.items[*].author[*],0.17815
crossref1_(551MB),11,$.items[*].institution[*].name,0.23144
crossref1_(551MB),12,$.items[*].link[*]..URL,0.22281
crossref1_(551MB),13,$.items[*].assertion[*]..name,0.23787
crossref1_(551MB),14,$.items[*].reference[*].key,0.40671
crossref1_(551MB),15,$.items[*].reference[*].author,0.42528
crossref1_(551MB),16,$.items[*].reference[*].DOI,0.44267
crossref1_(551MB),17,$.items[*].reference[*].year,0.46581
crossref1_(551MB),18,$.items[*].reference[*].issue,0.43527
crossref1_(551MB),19,$.items[*].reference[*].volume,0.46556
crossref1_(551MB),20,$.items[*].reference[*],0.27328
crossref1_(551MB),21,$..URL,0.09924
crossref2_(1.1GB),1,$.items[2].resource.primary.URL,0.19278
crossref2_(1.1GB),2,$.items[*].URL,0.1946
crossref2_(1.1GB),3,$.items[*].member,0.2184
crossref2_(1.1GB),4,$.items[*].score,0.22214
crossref2_(1.1GB),5,$.items[*].resource.primary.URL,0.21569
crossref2_(1.1GB),6,$.items[*].issued,0.29635
crossref2_(1.1GB),7,$.items[*].author[*].given,0.37477
crossref2_(1.1GB),8,$.items[*].author[*].family,0.38322
crossref2_(1.1GB),9,$.items[*].author[*].sequence,0.39134
crossref2_(1.1GB),10,$.items[*].author[*],0.35042
crossref2_(1.1GB),11,$.items[*].institution[*].name,0.45734
crossref2_(1.1GB),12,$.items[*].link[*]..URL,0.44087
crossref2_(1.1GB),13,$.items[*].assertion[*]..name,0.47212
crossref2_(1.1GB),14,$.items[*].reference[*].key,0.79798
crossref2_(1.1GB),15,$.items[*].reference[*].author,0.84121
crossref2_(1.1GB),16,$.items[*].reference[*].DOI,0.87133
crossref2_(1.1GB),17,$.items[*].reference[*].year,0.91776
crossref2_(1.1GB),18,$.items[*].reference[*].issue,0.85888
crossref2_(1.1GB),19,$.items[*].reference[*].volume,0.91519
crossref2_(1.1GB),20,$.items[*].reference[*],0.53854
crossref2_(1.1GB),21,$..URL,0.19649
twitter_large_record_(843MB),1,$[*].user..url.*,0.16087
twitter_large_record_(843MB),2,$[1:150000]..user,0.80004
twitter_large_record_(843MB),3,$[1:140000]..user,0.75734
