QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$.category,0.01128
1,$.items[*].itemId,0.21281
2,$.items[*].name,0.22427
3,$.items[*].upc,0.23936
4,$.items[*].categoryPath,0.24520
5,$.items[*].salePrice,0.23910
6,$.items[*].longDescription,0.24843
7,$.items[*].msrp,0.27435
8,$.items[*].thumbnailImage,0.26329
9,$.items[*].mediumImage,0.26745
10,$.items[*].largeImage,0.27283
11,$.items[*].productTrackingUrl,0.28201
12,$.items[*].productUrl,0.31555
13,$.items[*].addToCartUrl,0.36008
14,$.items[*].isbn,0.35797
15,$..category,0.12338
