QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$[4000].routes[*].bounds,0.01568
1,$[*].routes[*].legs[*].steps[*].html_instructions,0.42417
2,$[*].routes[*].legs[*].steps[*].distance.text,0.55448
3,$[*].routes[*].legs[*].steps[*].distance,0.49044
4,$[*].routes[*].legs[*].steps[*].maneuver,0.72575
5,$[*].routes[*].legs[*].steps[*].start_location,0.69002
6,$[*].routes[*].legs[*].steps[*].start_location.lat,0.68216
7,$[1:2000].routes[*].legs[*].steps[*].polyline.points,0.31217
8,$[*].routes[*].legs[*].steps[*].duration,0.98358
9,$[*].routes[*].legs[*].steps[*].end_location,1.11090
10,$[1:3000].routes[*].legs[*].steps[*].polyline.points,0.47006
11,$[*].routes[*].legs[*].steps[*],0.85256
12,$[1:4000].routes[*].legs[*].steps[*].polyline.points,0.63283
13,$[*].routes[*].legs[*].steps[*].polyline,0.80447
14,$[*].routes[*].legs[*].steps[*].polyline.points,0.71292
15,$[*].routes[*].legs[*]..lat,0.97909
16,$[*]..bounds,0.97297
