QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$[0].id,0.01218
2,$[1:1000]..fr,0.16854
3,$[*].labels.*.language,0.43669
4,$[*].labels.*.value,0.36192
5,$[1:10000]..fr,0.33653
6,$[*].*.fr.*,0.63952
7,$[1:20000]..fr,0.50234
8,$[1:30000]..fr,0.62823
9,$[1:40000]..fr,0.75745
10,$[1:50000]..fr,0.89733
11,$[1:60000]..fr,1.00690
12,$[1:70000]..fr,1.11057
13,$[1:80000]..fr,1.22335
14,$[1:90000]..fr,1.31638
15,$[1:100000]..fr,1.39759
16,$[1:110000]..fr,1.50227
17,$[1:120000]..fr,1.60473
18,$[1:130000]..fr,1.69717
19,$[1:140000]..fr,1.75961
20,$..language,0.79542
