name,input_size_bytes,num_keys,hash_map_BUILD,hash_map_QUERY,hash_map_HEAP,hash_map_double_BUILD,hash_map_double_QUERY,hash_map_double_HEAP,#64_λ=1:phf_group_BUILD,#64_λ=1:phf_group_QUERY,#64_λ=1:phf_group_HEAP,#64_λ=5:phf_group_BUILD,#64_λ=5:phf_group_QUERY,#64_λ=5:phf_group_HEAP,
bestbuy_short_(103MB),103231582,680183,0.076553651,0.0301617682,17825808,0.05989405333333333,0.0291803596,17825892,0.065601585,0.0279496984,6811094,0.127517506,0.0251640552,2458150,
crossref0_(320MB),320401529,3130672,0.33699875166666665,0.2407054454,71303184,0.33054079833333333,0.2445278058,71311904,0.5160353363333333,0.3756745112,31323016,0.708327133,0.15015641600000001,11285288,
google_map_short_(107MB),106896877,1030012,0.10351561599999999,0.067125869,35651600,0.10177663233333334,0.0688392398,35721248,0.09919523766666667,0.047154576399999995,10369192,0.18833682933333332,0.0391174278,3761528,
twitter_short_(80MB),80205149,474122,0.043916399333333335,0.019684422200000003,17825808,0.043128545,0.020018005,17825892,0.044087387,0.018039537400000003,4750460,0.08995244633333332,0.0161310898,1716268,
walmart_short_(95MB),95283602,35183,0.021209256666666666,0.0005891208,1114128,0.019438248333333335,0.0005835923999999999,1114212,0.021210602666666665,0.0007930382,361094,0.028541663999999998,0.000688122,136126,
