JSON,QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
crossref1_(551MB),3,$.items[*].member,0.10979
crossref1_(551MB),4,$.items[*].score,0.11159
crossref1_(551MB),5,$.items[*].resource.primary.URL,0.10871
crossref1_(551MB),6,$.items[*].issued,0.14803
crossref1_(551MB),7,$.items[*].author[*].given,0.18884
crossref1_(551MB),8,$.items[*].author[*].family,0.19328
crossref1_(551MB),9,$.items[*].author[*].sequence,0.19738
crossref1_(551MB),10,$.items[*].author[*],0.184
crossref1_(551MB),11,$.items[*].institution[*].name,0.22615
crossref1_(551MB),12,$.items[*].link[*]..URL,0.21931
crossref1_(551MB),13,$.items[*].assertion[*]..name,0.2331
crossref1_(551MB),14,$.items[*].reference[*].key,0.40071
crossref1_(551MB),15,$.items[*].reference[*].author,0.41892
crossref1_(551MB),16,$.items[*].reference[*].DOI,0.43697
crossref1_(551MB),17,$.items[*].reference[*].year,0.45982
crossref1_(551MB),18,$.items[*].reference[*].issue,0.42871
crossref1_(551MB),19,$.items[*].reference[*].volume,0.45957
crossref1_(551MB),20,$.items[*].reference[*],0.26844
crossref1_(551MB),21,$..URL,0.10015
crossref2_(1.1GB),1,$.items[2].resource.primary.URL,0.19289
crossref2_(1.1GB),2,$.items[*].URL,0.19396
crossref2_(1.1GB),3,$.items[*].member,0.21679
crossref2_(1.1GB),4,$.items[*].score,0.22052
crossref2_(1.1GB),5,$.items[*].resource.primary.URL,0.21486
crossref2_(1.1GB),6,$.items[*].issued,0.29235
crossref2_(1.1GB),7,$.items[*].author[*].given,0.37129
crossref2_(1.1GB),8,$.items[*].author[*].family,0.37983
crossref2_(1.1GB),9,$.items[*].author[*].sequence,0.38763
crossref2_(1.1GB),10,$.items[*].author[*],0.3625
crossref2_(1.1GB),11,$.items[*].institution[*].name,0.4476
crossref2_(1.1GB),12,$.items[*].link[*]..URL,0.43429
crossref2_(1.1GB),13,$.items[*].assertion[*]..name,0.4631
crossref2_(1.1GB),14,$.items[*].reference[*].key,0.78654
crossref2_(1.1GB),15,$.items[*].reference[*].author,0.82884
crossref2_(1.1GB),16,$.items[*].reference[*].DOI,0.86154
crossref2_(1.1GB),17,$.items[*].reference[*].year,0.9069
crossref2_(1.1GB),18,$.items[*].reference[*].issue,0.84701
crossref2_(1.1GB),19,$.items[*].reference[*].volume,0.90464
crossref2_(1.1GB),20,$.items[*].reference[*],0.53004
crossref2_(1.1GB),21,$..URL,0.19836
twitter_large_record_(843MB),1,$[*].user..url.*,0.15983
twitter_large_record_(843MB),2,$[1:150000]..user,0.80334
twitter_large_record_(843MB),3,$[1:140000]..user,0.75932
twitter_large_record_(843MB),4,$[1:130000]..user,0.71927
twitter_large_record_(843MB),5,$[1:120000]..user,0.67589
twitter_large_record_(843MB),6,$[1:110000]..user,0.63363
twitter_large_record_(843MB),7,$[1:100000]..user,0.59146
twitter_large_record_(843MB),8,$[1:90000]..user,0.55075
twitter_large_record_(843MB),9,$[1:80000]..user,0.50871
twitter_large_record_(843MB),10,$[1:70000]..user,0.46557
twitter_large_record_(843MB),11,$[1:60000]..user,0.42208
