JSON,CUTOFF,QUERY_ID,QUERY_TEXT,SKIP_TIME_NANO_SECONDS
bestbuy_large_record_(1GB),0,1,$.products[4].categoryPath[2],171483758.6
bestbuy_large_record_(1GB),64,1,$.products[4].categoryPath[2],171483038.6
bestbuy_large_record_(1GB),128,1,$.products[4].categoryPath[2],171483038.6
bestbuy_large_record_(1GB),256,1,$.products[4].categoryPath[2],171483038.6
bestbuy_large_record_(1GB),512,1,$.products[4].categoryPath[2],171483038.6
bestbuy_large_record_(1GB),1024,1,$.products[4].categoryPath[2],171483038.6
bestbuy_large_record_(1GB),2048,1,$.products[4].categoryPath[2],171483038.6
bestbuy_large_record_(1GB),0,2,$.products[*].categoryPath[2],278338232.6
bestbuy_large_record_(1GB),64,2,$.products[*].categoryPath[2],151467261
bestbuy_large_record_(1GB),128,2,$.products[*].categoryPath[2],151262010.8
bestbuy_large_record_(1GB),256,2,$.products[*].categoryPath[2],151147119.6
bestbuy_large_record_(1GB),512,2,$.products[*].categoryPath[2],151147119.6
bestbuy_large_record_(1GB),1024,2,$.products[*].categoryPath[2],151147119.6
bestbuy_large_record_(1GB),2048,2,$.products[*].categoryPath[2],151147119.6
bestbuy_large_record_(1GB),0,3,$.products[*].quantityLimit,267795959.2
bestbuy_large_record_(1GB),64,3,$.products[*].quantityLimit,161314386.2
bestbuy_large_record_(1GB),128,3,$.products[*].quantityLimit,158040538.6
bestbuy_large_record_(1GB),256,3,$.products[*].quantityLimit,140326010
bestbuy_large_record_(1GB),512,3,$.products[*].quantityLimit,140104283.2
bestbuy_large_record_(1GB),1024,3,$.products[*].quantityLimit,140104283.2
bestbuy_large_record_(1GB),2048,3,$.products[*].quantityLimit,140104283.2
bestbuy_large_record_(1GB),0,4,$.products[*].frequentlyPurchasedWith[*],281502097.8
bestbuy_large_record_(1GB),64,4,$.products[*].frequentlyPurchasedWith[*],160130051
bestbuy_large_record_(1GB),128,4,$.products[*].frequentlyPurchasedWith[*],156851520.4
bestbuy_large_record_(1GB),256,4,$.products[*].frequentlyPurchasedWith[*],139079883.4
bestbuy_large_record_(1GB),512,4,$.products[*].frequentlyPurchasedWith[*],138859417.4
bestbuy_large_record_(1GB),1024,4,$.products[*].frequentlyPurchasedWith[*],138859417.4
bestbuy_large_record_(1GB),2048,4,$.products[*].frequentlyPurchasedWith[*],138859417.4
bestbuy_large_record_(1GB),0,5,$.products[*].includedItemList[*],294909410.6
bestbuy_large_record_(1GB),64,5,$.products[*].includedItemList[*],158415404.4
bestbuy_large_record_(1GB),128,5,$.products[*].includedItemList[*],155093409.2
bestbuy_large_record_(1GB),256,5,$.products[*].includedItemList[*],137187809.6
bestbuy_large_record_(1GB),512,5,$.products[*].includedItemList[*],136965333.6
bestbuy_large_record_(1GB),1024,5,$.products[*].includedItemList[*],136965333.6
bestbuy_large_record_(1GB),2048,5,$.products[*].includedItemList[*],136965333.6
bestbuy_large_record_(1GB),0,6,$.products[*].homeDelivery,326052407.4
bestbuy_large_record_(1GB),64,6,$.products[*].homeDelivery,128674505.2
bestbuy_large_record_(1GB),128,6,$.products[*].homeDelivery,125183579.4
bestbuy_large_record_(1GB),256,6,$.products[*].homeDelivery,107202950
bestbuy_large_record_(1GB),512,6,$.products[*].homeDelivery,106939817
bestbuy_large_record_(1GB),1024,6,$.products[*].homeDelivery,106939313
bestbuy_large_record_(1GB),2048,6,$.products[*].homeDelivery,106142909.2
bestbuy_large_record_(1GB),0,7,$.products[*].freeShipping,344529728.4
bestbuy_large_record_(1GB),64,7,$.products[*].freeShipping,115364821.2
bestbuy_large_record_(1GB),128,7,$.products[*].freeShipping,111677093.8
bestbuy_large_record_(1GB),256,7,$.products[*].freeShipping,93561197.6
bestbuy_large_record_(1GB),512,7,$.products[*].freeShipping,92765151.6
bestbuy_large_record_(1GB),1024,7,$.products[*].freeShipping,92764731.8
bestbuy_large_record_(1GB),2048,7,$.products[*].freeShipping,62202143.8
bestbuy_large_record_(1GB),0,8,$.products[*].shipping[*],342271908.2
bestbuy_large_record_(1GB),64,8,$.products[*].shipping[*],113471348
bestbuy_large_record_(1GB),128,8,$.products[*].shipping[*],109820066
bestbuy_large_record_(1GB),256,8,$.products[*].shipping[*],91751359
bestbuy_large_record_(1GB),512,8,$.products[*].shipping[*],90960982.4
bestbuy_large_record_(1GB),1024,8,$.products[*].shipping[*],90960489.4
bestbuy_large_record_(1GB),2048,8,$.products[*].shipping[*],57066176.8
bestbuy_large_record_(1GB),0,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,402150445.2
bestbuy_large_record_(1GB),64,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,97272929.4
bestbuy_large_record_(1GB),128,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,76110610.8
bestbuy_large_record_(1GB),256,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,58047580.4
bestbuy_large_record_(1GB),512,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,57247802.2
bestbuy_large_record_(1GB),1024,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,47431585.8
bestbuy_large_record_(1GB),2048,9,$.products[*].shippingLevelsOfService[*].serviceLevelName,3902361.4
bestbuy_large_record_(1GB),0,10,$.products[*].shippingLevelsOfService[*],358033599.4
bestbuy_large_record_(1GB),64,10,$.products[*].shippingLevelsOfService[*],96853180.8
bestbuy_large_record_(1GB),128,10,$.products[*].shippingLevelsOfService[*],75706491.2
bestbuy_large_record_(1GB),256,10,$.products[*].shippingLevelsOfService[*],57671213.8
bestbuy_large_record_(1GB),512,10,$.products[*].shippingLevelsOfService[*],56875672.2
bestbuy_large_record_(1GB),1024,10,$.products[*].shippingLevelsOfService[*],47111743
bestbuy_large_record_(1GB),2048,10,$.products[*].shippingLevelsOfService[*],3874285.8
bestbuy_large_record_(1GB),0,11,$.products[*].dollarSavings,373245404.8
bestbuy_large_record_(1GB),64,11,$.products[*].dollarSavings,94653834.4
bestbuy_large_record_(1GB),128,11,$.products[*].dollarSavings,66852387.6
bestbuy_large_record_(1GB),256,11,$.products[*].dollarSavings,29687333.6
bestbuy_large_record_(1GB),512,11,$.products[*].dollarSavings,357852.6
bestbuy_large_record_(1GB),1024,11,$.products[*].dollarSavings,137158.2
bestbuy_large_record_(1GB),2048,11,$.products[*].dollarSavings,61938
bestbuy_large_record_(1GB),0,12,$.products[*].lengthInMinutes,368717905.4
bestbuy_large_record_(1GB),64,12,$.products[*].lengthInMinutes,90216191
bestbuy_large_record_(1GB),128,12,$.products[*].lengthInMinutes,62282731.4
bestbuy_large_record_(1GB),256,12,$.products[*].lengthInMinutes,2175902.6
bestbuy_large_record_(1GB),512,12,$.products[*].lengthInMinutes,318486.2
bestbuy_large_record_(1GB),1024,12,$.products[*].lengthInMinutes,124050.2
bestbuy_large_record_(1GB),2048,12,$.products[*].lengthInMinutes,54872.8
bestbuy_large_record_(1GB),0,13,$.products[*].screenFormat,365493509.4
bestbuy_large_record_(1GB),64,13,$.products[*].screenFormat,84021869.2
bestbuy_large_record_(1GB),128,13,$.products[*].screenFormat,39829292.2
bestbuy_large_record_(1GB),256,13,$.products[*].screenFormat,1703234.2
bestbuy_large_record_(1GB),512,13,$.products[*].screenFormat,299795
bestbuy_large_record_(1GB),1024,13,$.products[*].screenFormat,113668
bestbuy_large_record_(1GB),2048,13,$.products[*].screenFormat,51846.2
bestbuy_large_record_(1GB),0,14,$.products[*].additionalFeatures[*],343934498.2
bestbuy_large_record_(1GB),64,14,$.products[*].additionalFeatures[*],66797618.6
