QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$.meta.view.id,0.01338
1,$.data[0:100000][*],0.50656
2,$.data[0:200000][*],0.54530
3,$.data[0:300000][*],0.58789
4,$.data[0:400000][*],0.63075
5,$.data[0:500000][*],0.66701
6,$.data[0:600000][*],0.70337
7,$.data[0:700000][*],0.74036
8,$.data[0:800000][*],0.77658
9,$.data[0:900000][*],0.81337
10,$.data[0:1000000][*],0.84989
11,$.data[0:1100000][*],0.88555
12,$.data[0:1200000][*],0.92181
13,$.data[0:1300000][*],0.95838
14,$.data[0:1400000][*],0.99389
15,$.data[0:1500000][*],1.02933
16,$.data[0:1600000][*],1.06457
17,$.data[*],0.34428
18,$..id,0.12229
