QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$[4000].routes[*].bounds,0.01411
1,$[*].routes[*].legs[*].steps[*].html_instructions,0.57803
2,$[*].routes[*].legs[*].steps[*].distance.text,0.71546
3,$[*].routes[*].legs[*].steps[*].distance,0.61962
4,$[*].routes[*].legs[*].steps[*].maneuver,0.80169
5,$[*].routes[*].legs[*].steps[*].start_location,0.75229
6,$[*].routes[*].legs[*].steps[*].start_location.lat,0.79988
7,$[1:2000].routes[*].legs[*].steps[*].polyline.points,0.31189
8,$[*].routes[*].legs[*].steps[*].duration,1.00854
9,$[*].routes[*].legs[*].steps[*].end_location,1.13372
10,$[1:3000].routes[*].legs[*].steps[*].polyline.points,0.47045
11,$[*].routes[*].legs[*].steps[*],0.87903
12,$[1:4000].routes[*].legs[*].steps[*].polyline.points,0.63343
13,$[*].routes[*].legs[*].steps[*].polyline,0.80526
14,$[*].routes[*].legs[*].steps[*].polyline.points,0.71418
15,$[*].routes[*].legs[*]..lat,0.98263
16,$[*]..bounds,0.97357
