QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$.meta.view.id,0.01376
1,$.data[0:100000][*],0.52602
2,$.data[0:200000][*],0.56373
3,$.data[0:300000][*],0.60506
4,$.data[0:400000][*],0.64663
5,$.data[0:500000][*],0.68297
6,$.data[0:600000][*],0.71862
7,$.data[0:700000][*],0.75306
8,$.data[0:800000][*],0.78927
9,$.data[0:900000][*],0.82451
10,$.data[0:1000000][*],0.85967
11,$.data[0:1100000][*],0.89369
12,$.data[0:1200000][*],0.92920
13,$.data[0:1300000][*],0.96434
14,$.data[0:1400000][*],1.00045
15,$.data[0:1500000][*],1.03276
16,$.data[0:1600000][*],1.06669
17,$.data[*],0.34427
18,$..id,0.12313
