QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$[0].id,0.01209
2,$[1:1000]..fr,0.13530
3,$[*].labels.*.language,0.40219
4,$[*].labels.*.value,0.32557
5,$[1:10000]..fr,0.30529
6,$[*].*.fr.*,0.65654
7,$[1:20000]..fr,0.47831
8,$[1:30000]..fr,0.60710
9,$[1:40000]..fr,0.73886
10,$[1:50000]..fr,0.87961
11,$[1:60000]..fr,0.99111
12,$[1:70000]..fr,1.09674
13,$[1:80000]..fr,1.21044
14,$[1:90000]..fr,1.30515
15,$[1:100000]..fr,1.38895
16,$[1:110000]..fr,1.49874
17,$[1:120000]..fr,1.60235
18,$[1:130000]..fr,1.69720
19,$[1:140000]..fr,1.76228
20,$..language,0.79579
