QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$[4000].routes[*].bounds,0.01423
1,$[*].routes[*].legs[*].steps[*].html_instructions,0.44288
2,$[*].routes[*].legs[*].steps[*].distance.text,0.56828
3,$[*].routes[*].legs[*].steps[*].distance,0.50289
4,$[*].routes[*].legs[*].steps[*].maneuver,0.72996
5,$[*].routes[*].legs[*].steps[*].start_location,0.69395
6,$[*].routes[*].legs[*].steps[*].start_location.lat,0.69116
7,$[1:2000].routes[*].legs[*].steps[*].polyline.points,0.31177
8,$[*].routes[*].legs[*].steps[*].duration,0.98361
9,$[*].routes[*].legs[*].steps[*].end_location,1.11013
10,$[1:3000].routes[*].legs[*].steps[*].polyline.points,0.47001
11,$[*].routes[*].legs[*].steps[*],0.85354
12,$[1:4000].routes[*].legs[*].steps[*].polyline.points,0.63287
13,$[*].routes[*].legs[*].steps[*].polyline,0.80505
14,$[*].routes[*].legs[*].steps[*].polyline.points,0.71331
15,$[*].routes[*].legs[*]..lat,0.98276
16,$[*]..bounds,0.97274
