name,input_size_bytes,num_keys,hash_map_BUILD,hash_map_QUERY,hash_map_HEAP,hash_map_double_BUILD,hash_map_double_QUERY,hash_map_double_HEAP,λ=1:phf_double_BUILD,λ=1:phf_double_QUERY,λ=1:phf_double_HEAP,λ=5:phf_double_BUILD,λ=5:phf_double_QUERY,λ=5:phf_double_HEAP,
bestbuy_short_(103MB),103231582,680183,0.084140025,0.028940589,17825808,0.05982583699999999,0.029758533200000003,17825892,1.589446594,0.025429144999999997,6801878,1.8589541163333336,0.023384000800000002,2448702,
crossref0_(320MB),320401529,3130672,0.39750236600000005,0.23950583799999997,71303184,0.3156804406666667,0.2486267212,71311904,11.187435395000001,0.36932004519999995,31313800,14.538658485666666,0.1372688132,11275616,
google_map_short_(107MB),106896877,1030012,0.11841620766666666,0.0664472,35651600,0.10150242866666666,0.0685823882,35721248,2.1178911896666666,0.042815324200000004,10359976,2.897308061,0.0362979694,3751944,
twitter_short_(80MB),80205149,474122,0.04840625766666667,0.018980163799999998,17825808,0.041198343666666665,0.0197792974,17825892,0.5890264053333333,0.0169026224,4741244,0.7922002526666668,0.015242442,1706868,
walmart_short_(95MB),95283602,35183,0.02131572333333333,0.0005361202,1114128,0.02124516066666667,0.0005874888,1114212,0.028781796666666665,0.0006656498,351878,0.05612207166666666,0.0005960669999999999,126702,
