QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$[*].user..url.*,0.16403
2,$[1:150000]..user,0.79547
3,$[1:140000]..user,0.75284
4,$[1:130000]..user,0.71091
5,$[1:120000]..user,0.66963
6,$[1:110000]..user,0.62822
7,$[1:100000]..user,0.58667
8,$[1:90000]..user,0.54689
9,$[1:80000]..user,0.50525
10,$[1:70000]..user,0.46280
11,$[1:60000]..user,0.42003
12,$[1:50000]..user,0.37562
13,$[1:40000]..user,0.33182
14,$[1:30000]..user,0.28790
15,$[1:20000]..user,0.24458
16,$[1:10000]..user,0.20173
17,$[*].user.profile_sidebar_border_color,0.25782
18,$[*].user.profile_image_url_https,0.27242
19,$[*].retweeted_status.filter_level,0.27634
20,$[*].retweeted_status.user.name,0.21750
21,$[*].user.created_at,0.22530
22,$[*].retweeted_status.id,0.20326
23,$[*].user.screen_name,0.19472
24,$[*].source,0.18091
25,$[*].id,0.16761
26,$[*].geo,0.21650
27,$[*].retweeted_status[*],0.27128
28,$[*]..id,0.80811
200,$[*].entities..symbols[*],0.23881
201,$[*].entities..url,0.28302
202,$[*].entities.symbols[*],0.23823
203,$[*].entities.symbols[1],0.23805
204,$[*].entities.urls[*].display_url,0.23310
205,$[*].timestamp_ms,0.28098
