JSON,CUTOFF,BUILD_TIME_SECONDS,SIZE_IN_BYTES
crossref4_(2.1GB),0,1.44037,51717389
crossref4_(2.1GB),64,1.17465,25395245
crossref4_(2.1GB),128,1.04131,13973423
crossref4_(2.1GB),512,0.87587,1650101
crossref4_(2.1GB),8192,0.85637,285054
