JSON,CUTOFF,BUILD_TIME_SECONDS,SIZE_IN_BYTES
crossref1_(551MB),0,0.39692,13321166
crossref1_(551MB),64,0.33911,6709422
crossref1_(551MB),128,0.26482,3658974
crossref1_(551MB),512,0.24279,418757
crossref1_(551MB),8192,0.22326,79048
