JSON,CUTOFF,BUILD_TIME_SECONDS,SIZE_IN_BYTES
crossref2_(1.1GB),0,0.74712,26351324
crossref2_(1.1GB),64,0.60737,13182078
crossref2_(1.1GB),128,0.53216,7281252
crossref2_(1.1GB),512,0.45675,839860
crossref2_(1.1GB),8192,0.43868,151053
