QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$[*].user..url.*,0.13942
2,$[1:150000]..user,0.81276
3,$[1:140000]..user,0.76573
4,$[1:130000]..user,0.71948
5,$[1:120000]..user,0.67398
6,$[1:110000]..user,0.62789
7,$[1:100000]..user,0.58168
8,$[1:90000]..user,0.53774
9,$[1:80000]..user,0.49203
10,$[1:70000]..user,0.44550
11,$[1:60000]..user,0.39816
12,$[1:50000]..user,0.34925
13,$[1:40000]..user,0.30027
14,$[1:30000]..user,0.25146
15,$[1:20000]..user,0.20346
16,$[1:10000]..user,0.15626
17,$[*].user.profile_sidebar_border_color,0.22943
18,$[*].user.profile_image_url_https,0.24334
19,$[*].retweeted_status.filter_level,0.27193
20,$[*].retweeted_status.user.name,0.21225
21,$[*].user.created_at,0.19683
22,$[*].retweeted_status.id,0.19244
23,$[*].user.screen_name,0.16702
24,$[*].source,0.13368
25,$[*].id,0.11751
26,$[*].geo,0.18717
27,$[*].retweeted_status[*],0.27205
28,$[*]..id,0.83256
200,$[*].entities..symbols[*],0.23000
201,$[*].entities..url,0.27352
202,$[*].entities.symbols[*],0.22619
203,$[*].entities.symbols[1],0.22594
204,$[*].entities.urls[*].display_url,0.22080
205,$[*].timestamp_ms,0.26731
