QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$.meta.view.id,0.01095
1,$.data[0:100000][*],0.49431
2,$.data[0:200000][*],0.53202
3,$.data[0:300000][*],0.57365
4,$.data[0:400000][*],0.61503
5,$.data[0:500000][*],0.65094
6,$.data[0:600000][*],0.68698
7,$.data[0:700000][*],0.72236
8,$.data[0:800000][*],0.75840
9,$.data[0:900000][*],0.79360
10,$.data[0:1000000][*],0.82904
11,$.data[0:1100000][*],0.86420
12,$.data[0:1200000][*],0.89927
13,$.data[0:1300000][*],0.93387
14,$.data[0:1400000][*],0.96851
15,$.data[0:1500000][*],1.00300
16,$.data[0:1600000][*],1.03731
17,$.data[*],0.34656
18,$..id,0.12146
