QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$[4000].routes[*].bounds,0.01130
1,$[*].routes[*].legs[*].steps[*].html_instructions,0.57616
2,$[*].routes[*].legs[*].steps[*].distance.text,0.71901
3,$[*].routes[*].legs[*].steps[*].distance,0.65013
4,$[*].routes[*].legs[*].steps[*].maneuver,0.83031
5,$[*].routes[*].legs[*].steps[*].start_location,0.79710
6,$[*].routes[*].legs[*].steps[*].start_location.lat,0.84955
7,$[1:2000].routes[*].legs[*].steps[*].polyline.points,0.31724
8,$[*].routes[*].legs[*].steps[*].duration,1.03775
9,$[*].routes[*].legs[*].steps[*].end_location,1.16407
10,$[1:3000].routes[*].legs[*].steps[*].polyline.points,0.47997
11,$[*].routes[*].legs[*].steps[*],0.90438
12,$[1:4000].routes[*].legs[*].steps[*].polyline.points,0.64824
13,$[*].routes[*].legs[*].steps[*].polyline,0.82468
14,$[*].routes[*].legs[*].steps[*].polyline.points,0.73099
15,$[*].routes[*].legs[*]..lat,0.97181
16,$[*]..bounds,0.96951
