QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$[0].id,0.01243
2,$[1:1000]..fr,0.08677
3,$[*].labels.*.language,0.43118
4,$[*].labels.*.value,0.33956
5,$[1:10000]..fr,0.27552
6,$[*].*.fr.*,0.83866
7,$[1:20000]..fr,0.44993
8,$[1:30000]..fr,0.58269
9,$[1:40000]..fr,0.71747
10,$[1:50000]..fr,0.85983
11,$[1:60000]..fr,0.97460
12,$[1:70000]..fr,1.08244
13,$[1:80000]..fr,1.19988
14,$[1:90000]..fr,1.29683
15,$[1:100000]..fr,1.38310
16,$[1:110000]..fr,1.49221
17,$[1:120000]..fr,1.59904
18,$[1:130000]..fr,1.69410
19,$[1:140000]..fr,1.76156
20,$..language,0.79471
