QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
1,$[0].id,0.21988
2,$[1:1000]..fr,0.22964
3,$[*].labels.*.language,0.48493
4,$[*].labels.*.value,0.40757
5,$[1:10000]..fr,0.38616
6,$[*].*.fr.*,0.62585
7,$[1:20000]..fr,0.54074
8,$[1:30000]..fr,0.66166
9,$[1:40000]..fr,0.78274
10,$[1:50000]..fr,0.91210
11,$[1:60000]..fr,1.01593
12,$[1:70000]..fr,1.11350
13,$[1:80000]..fr,1.22114
14,$[1:90000]..fr,1.31036
15,$[1:100000]..fr,1.38976
16,$[1:110000]..fr,1.48850
17,$[1:120000]..fr,1.58564
18,$[1:130000]..fr,1.67589
19,$[1:140000]..fr,1.74032
20,$..language,0.82051
