JSON,ALGORITHM,BUILD_TIME_SECONDS
bestbuy_large_record_(1GB),SERDE,12.43276
bestbuy_large_record_(1GB),rq-legacy,0
bestbuy_large_record_(1GB),rq-lut-cutoff-0,0.47719
bestbuy_large_record_(1GB),rq-lut-cutoff-512,0.33941
crossref1_(551MB),SERDE,6.20748
crossref1_(551MB),rq-legacy,0
crossref1_(551MB),rq-lut-cutoff-0,0.36916
crossref1_(551MB),rq-lut-cutoff-512,0.23511
