QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$.meta.view.id,0.01336
1,$.data[0:100000][*],0.54612
2,$.data[0:200000][*],0.58267
3,$.data[0:300000][*],0.62269
4,$.data[0:400000][*],0.66204
5,$.data[0:500000][*],0.69732
6,$.data[0:600000][*],0.73195
7,$.data[0:700000][*],0.76666
8,$.data[0:800000][*],0.80150
9,$.data[0:900000][*],0.83606
10,$.data[0:1000000][*],0.87090
11,$.data[0:1100000][*],0.90548
12,$.data[0:1200000][*],0.93963
13,$.data[0:1300000][*],0.97388
14,$.data[0:1400000][*],1.00828
15,$.data[0:1500000][*],1.03839
16,$.data[0:1600000][*],1.06922
17,$.data[*],0.34427
18,$..id,0.12250
